fps,dim,staleness,rmse_kf,rmse_held,n_samples
1,vx,20,0.11850831397135812,0.22491888024572687,135
1,y,20,0.0346163332697542,0.35881387850011426,135
1,vy,20,0.16846275506173145,0.5429805729719203,135
1,angle,20,0.10555715749633648,0.6364183260066874,135
1,angular_velocity,20,0.26704380591030225,0.6974880812798507,135
1,x,21,0.025686554121237767,0.09635862082085855,134
1,vx,21,0.09370910126756694,0.2136269078360038,134
1,y,21,0.03594758799899055,0.3761197326285582,134
1,vy,21,0.1187634797255075,0.5636354361243133,134
1,angle,21,0.11744733435253374,0.6552012148219537,134
1,angular_velocity,21,0.5642544921779228,0.8324828331724391,134
1,x,22,0.026203965840835668,0.09976695656714446,133
1,vx,22,0.08915306593305217,0.22205824311162817,133
1,y,22,0.03721601043009506,0.39414230082099094,133
1,vy,22,0.06851830637275592,0.5924067480287523,133
1,angle,22,0.12641856709224866,0.6696230782287494,133
1,angular_velocity,22,0.28271457039359327,0.7712663307390046,133
1,x,23,0.02674492021485784,0.10284012240155437,133
1,vx,23,0.092785687564162,0.22589669888531022,133
1,y,23,0.03783796946144891,0.41542506461443596,133
1,vy,23,0.18062557094859877,0.6377704639698348,133
1,angle,23,0.13888826008523214,0.6983742598999565,133
1,angular_velocity,23,0.5565960244840584,0.978121853168513,133
1,x,24,0.02650207735948139,0.10688800573464768,130
1,vx,24,0.0943586433707864,0.2389105855631122,130
1,y,24,0.03871261176950475,0.42854368461590275,130
1,vy,24,0.07233427218384594,0.6517325845659084,130
1,angle,24,0.15085916504145647,0.7297874509920763,130
1,angular_velocity,24,0.3114608624651026,0.8452597433412331,130
1,x,25,0.027058458760874298,0.10995665949810027,130
1,vx,25,0.10393329880767326,0.24003318724667352,130
1,y,25,0.040296982598457834,0.45074923869367484,130
1,vy,25,0.21114562599980263,0.6994186703245638,130
1,angle,25,0.16413051828872613,0.7604816200537684,130
1,angular_velocity,25,0.732598301155066,1.121193362135255,130
1,x,26,0.026872992769867016,0.11164024139613607,127
1,vx,26,0.09981093612278846,0.24472545615570296,127
1,y,26,0.040523716455059894,0.46552599154212654,127
1,vy,26,0.2850317325229065,0.7197975946850079,127
1,angle,26,0.18129694336407048,0.7758940498699826,127
1,angular_velocity,26,0.6422567730790064,1.0469686697247667,127
1,x,27,0.027194449115916706,0.11568496798843661,124
1,vx,27,0.0931021613896398,0.25399180844014585,124
1,y,27,0.041659293509794824,0.4742556106146702,124
1,vy,27,0.074304181248573,0.7378531457550294,124
1,angle,27,0.1927632051049674,0.7896973033514497,124
1,angular_velocity,27,0.3512105220777785,0.948873073054915,124
1,x,28,0.027738255137063392,0.11861778694152754,124
1,vx,28,0.09571280977252215,0.26248462313825616,124
1,y,28,0.04297412872806737,0.4979959981474362,124
1,vy,28,0.07385786806013932,0.7665893832348909,124
1,angle,28,0.20805320467429766,0.827314635461156,124
1,angular_velocity,28,0.37100901678729314,0.9817144436472768,124
1,x,29,0.02836906436805645,0.12161462673259713,124
1,vx,29,0.10934519044855018,0.2676590514682799,124
1,y,29,0.04432334519399947,0.521256835521169,124
1,vy,29,0.20396905918318195,0.7934307651912782,124
1,angle,29,0.2303381578567117,0.8585092329108782,124
1,angular_velocity,29,0.9844326108501574,1.3025192518026842,124
1,x,30,0.02927060805622117,0.1254238833286673,122
1,vx,30,0.17610208703058644,0.3132686907736489,122
1,y,30,0.045594472925072634,0.5351660475814952,122
1,vy,30,0.2958875939074509,0.8295755628639976,122
1,angle,30,0.24391080775757676,0.899429391852292,122
1,angular_velocity,30,0.8406173501083144,1.2086423576174954,122
1,x,31,0.028978064534872634,0.1280614804739962,118
1,vx,31,0.11880005487542812,0.2918238357830061,118
1,y,31,0.047224593788487076,0.534729132840158,118
1,vy,31,0.2920674375420584,0.8606971497342273,118
1,angle,31,0.2572170101080386,0.9195978797073304,118
1,angular_velocity,31,0.6359082728641793,1.2211233296250334,118
1,x,32,0.02907956842455077,0.13088340213499952,115
1,vx,32,0.1078278350592562,0.29457753771552747,115
