Wall time,Step,Value
1779315744.2592404,1473984,11.0
1779315808.4096544,1477888,15.286885261535645
1779315813.072344,1488640,6.458333492279053
1779315813.0963743,1488704,10.090909004211426
1779315816.405632,1496640,8.511736869812012
1779315816.9224956,1498048,8.311827659606934
1779315818.123508,1501312,15.111940383911133
1779315818.1358306,1501344,13.12030029296875
1779315886.727609,1515392,7.492647171020508
1779315887.0666714,1516192,12.030075073242188
1779315963.6818643,1549440,11.359223365783691
1779315964.3370135,1550944,12.155555725097656
1779315964.4125507,1551104,10.494505882263184
1779315972.4814312,1572288,9.83214282989502
1779316036.9603553,1572928,9.963133811950684
1779316043.2344675,1588000,7.681818008422852
1779316043.2697148,1588096,12.17543888092041
1779316043.5038319,1588736,10.430850982666016
1779316046.894627,1598016,8.989473342895508
1779316047.0915356,1598560,10.206185340881348
1779316047.859246,1600672,8.649532318115234
1779316049.2201993,1603936,9.342975616455078
1779316118.1514184,1617216,12.791666984558105
1779316118.4453087,1618016,11.993243217468262
1779316121.6926234,1626880,8.465753555297852
1779316124.5011828,1634592,13.2421875
1779316124.816514,1635456,8.403389930725098
1779316125.7022986,1637856,14.285714149475098
1779316199.3288286,1665248,10.692307472229004
1779316271.6206374,1687136,10.507537841796875
1779316274.3475072,1693248,10.432098388671875
1779316275.3291924,1695520,9.932126998901367
1779316345.5153222,1709152,12.528796195983887
1779316350.1778371,1719392,13.881118774414062
1779316353.3948593,1726720,12.469511985778809
1779316354.7600107,1729664,10.533333778381348
1779316357.2523208,1736320,7.577272891998291
1779316425.5820942,1746944,10.20121955871582
1779316425.8076944,1747424,9.74609375
1779316508.4716187,1789888,10.911110877990723
1779316510.2979589,1794080,12.600000381469727
1779316510.9754236,1795648,8.483870506286621
1779316511.8110397,1797824,8.554006576538086
1779316512.439378,1799264,11.8421049118042
1779316580.6771028,1809024,11.104166984558105
1779316583.7817845,1815808,8.692660331726074
1779316585.766697,1820448,13.372093200683594
1779316663.5861118,1852192,10.047846794128418
1779316663.7915187,1852640,11.837838172912598
1779316664.2640934,1853632,12.043478012084961
1779316745.9752736,1893952,11.137404441833496
1779316747.2550292,1896768,11.254545211791992
1779316815.1749365,1906880,15.364583015441895
1779316816.0438657,1908736,13.266129493713379
1779316898.3251235,1950528,9.350000381469727
1779316899.652592,1953760,9.0
1779316978.6131465,1988928,11.393518447875977
1779317051.3229952,2007584,10.851485252380371
1779317052.2842448,2009728,12.143518447875977
1779317126.6541,2035232,13.375
1779317128.1739976,2038720,11.127167701721191
1779317128.2798307,2038944,13.534482955932617
1779317129.603003,2041824,8.778947830200195
1779317130.6146843,2044032,11.948052406311035
1779317130.9874196,2044896,12.310344696044922
1779317204.4216616,2066112,9.78723430633545
1779317217.399254,2095040,14.850000381469727
1779317282.6060085,2097536,10.202381134033203
1779317284.8845308,2102528,14.915254592895508
1779317286.0833795,2105216,12.20187759399414
1779317294.3790324,2123936,15.22988510131836
1779317295.8966112,2127296,7.45192289352417
1779317361.9396768,2133216,12.007352828979492
1779317364.2989101,2138400,9.301435470581055
1779317365.7605176,2142048,12.336898803710938
1779317440.7820976,2171648,15.126049995422363
1779317442.177043,2175488,12.984771728515625
1779317445.1342235,2183104,13.815789222717285
1779317445.1683755,2183168,14.314102172851562
1779317445.730224,2184480,10.059907913208008
1779317445.804738,2184640,13.964823722839355
1779317518.3253272,2206720,16.66666603088379
1779317518.3379045,2206752,14.705521583557129
1779317519.0321834,2208576,12.903225898742676
1779317522.4361007,2216032,14.570588111877441
1779317594.9246123,2237920,11.672268867492676
1779317598.1187134,2245344,12.151110649108887
1779317602.7140782,2255456,2.5892856121063232
1779317604.360147,2259072,13.022599220275879
1779317671.9163444,2266432,16.463415145874023
1779317672.5002363,2267648,14.67391300201416
1779317672.9374905,2268640,15.517241477966309
1779317673.2501152,2269312,10.364102363586426
1779317676.0820208,2275712,12.25146198272705
1779317676.733932,2277376,13.525424003601074
1779317680.6120138,2285952,12.244239807128906
1779317683.5086722,2292416,14.200934410095215
1779317751.878563,2301632,14.183673858642578
1779317760.3081648,2320608,11.989999771118164
1779317826.4166846,2326848,15.659340858459473
1779317827.5076213,2329856,10.155555725097656
1779317908.1208084,2368512,11.937007904052734
1779317908.4688559,2369312,13.052083015441895
1779317912.3641207,2378080,13.984375
1779317914.633807,2383072,11.199187278747559
1779317982.4032967,2394304,13.631068229675293
1779317985.1088314,2400256,10.313953399658203
1779317986.8377736,2404384,12.81067943572998
1779318062.357615,2432672,14.649999618530273
